Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
January,33,Lawyer,131313.4,11242.783333333333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2.0,Good,352.16,32.200508995391914,30 Years and 7 Months,NM,137.6446054014217,378.1712535207537,High_spent_Medium_value_payments,858.462474411158,Good
February,34,Lawyer,131313.4,11242.783333333333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",-1,2,15.34,4.0,Good,352.16,31.98371000755867,30 Years and 8 Months,No,137.6446054014217,698.8732707169384,High_spent_Small_value_payments,547.7604572149734,Good
March,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,4.0,Good,352.16,31.803134495092273,30 Years and 9 Months,NM,911.2201793459374,188.06432109973838,High_spent_Large_value_payments,1038.5694068321734,Good
April,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,8.34,4.0,Good,352.16,42.64578489930634,30 Years and 10 Months,No,23834.0,337.43495631738324,High_spent_Medium_value_payments,899.1987716145285,Good
May,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,4,9.34,4.0,Good,352.16,40.902517150451615,30 Years and 11 Months,No,32662.0,263.3789089320552,High_spent_Large_value_payments,963.2548189998564,Good
June,34,Lawyer,131313.4,,0,1,8,-100,"Credit-Builder Loan, and Mortgage Loan",0,3_,11.34,4.0,Good,352.16,41.98016961054943,31 Years and 0 Months,No,911.2201793459374,86.56638801207531,High_spent_Large_value_payments,1140.0673399198365,Standard
July,34_,Lawyer,10909427.0,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2_,9.34,4.0,Good,352.16,26.94756515223988,31 Years and 1 Months,No,911.2201793459374,930.3918977796665,!@9#%8,326.24183015224526,Good
August,34,Lawyer,131313.4,10469.207759388815,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4.0,Good,352.16,29.187912654166695,31 Years and 2 Months,No,911.2201793459374,870.52238171816,Low_spent_Medium_value_payments,396.1113462137519,Good
January,7580,Media_Manager,34081.38_,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,24.448062746255477,,NM,70.47833267207261,162.4410091967751,Low_spent_Large_value_payments,298.19215813115227,Poor
February,30,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5.0,_,1704.18,35.171160021263034,14 Years and 8 Months,Yes,70.47833267207261,38.4369827577036,High_spent_Large_value_payments,392.19618457022375,Poor
March,30_,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5.0,Standard,1704.18,35.11155247196594,14 Years and 9 Months,Yes,70.47833267207261,199.7207654954979,Low_spent_Large_value_payments,260.9124018324295,Poor
April,30,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5.0,_,1704.18,29.76215930632113,14 Years and 10 Months,Yes,70.47833267207261,220.55219192916718,Low_spent_Small_value_payments,260.0809753987602,Poor
May,30,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5.0,_,1704.18,30.206214222610893,14 Years and 11 Months,Yes,70.47833267207261,,High_spent_Large_value_payments,397.2283547370202,Standard
June,30,Media_Manager,34081.38,2611.115,8,7,15,-100,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5.0,Standard,1704.18,31.17087232096111,15 Years and 0 Months,Yes,70.47833267207261,,!@9#%8,410.6743660782873,Standard
July,30,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,38.438505084064886,15 Years and 1 Months,NM,70.47833267207261,55.45978063925893,High_spent_Small_value_payments,395.1733866886683,Standard
August,30,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9.0,_,1704.18,33.82348834412097,15 Years and 2 Months,Yes,70.47833267207261,29.32636371091455,High_spent_Medium_value_payments,411.3068036170128,Poor
January,23,Doctor,114838.41,9843.8675,2,5,7,-100,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,8.24,3.0,Good,1377.74,33.66455429077268,21 Years and 4 Months,No,226.89279192154316,215.19351594560425,High_spent_Small_value_payments,802.3004421328528,Good
February,23,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,_,3.0,Good,1377.74,27.62632548676964,21 Years and 5 Months,NM,226.89279192154316,212.23560220847847,High_spent_Large_value_payments,785.2583558699787,Good
March,23,Doctor,114838.41_,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,_,3.0,Good,1377.74,35.14156730186042,21 Years and 6 Months,NM,226.89279192154316,470.3857956796373,High_spent_Small_value_payments,547.1081623988198,Good
April,23,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,14,8.24,8.0,Good,1377.74,30.4590318418306,21 Years and 7 Months,No,226.89279192154316,225.08204945419,!@9#%8,772.411908624267,Good
May,23,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,11.24,8.0,Good,1377.74,29.819186633421047,21 Years and 8 Months,No,226.89279192154316,649.8093641841638,High_spent_Small_value_payments,367.6845938942932,Standard
June,24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14,8.24,8.0,_,1377.74,26.114213868949623,21 Years and 9 Months,NM,226.89279192154316,546.3805705230692,!@9#%8,491.11338755538793,Good
July,24,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,,8.24,8.0,Good,1377.74,31.76751564697107,21 Years and 10 Months,No,226.89279192154316,215.4682977385688,High_spent_Medium_value_payments,792.0256603398883,Good
August,24_,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8.0,Good,1377.74,27.813353640375272,21 Years and 11 Months,No,226.89279192154316,254.57176724837916,High_spent_Large_value_payments,742.9221908300779,Standard
January,44,Journalist,31370.8,2825.233333333333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2.0,Good,421.43,29.51935255713933,,NM,46.616129073342066,154.352781097101,High_spent_Small_value_payments,341.55442316289026,Good
February,44,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",2,0,-1.2400000000000002,2.0,Good,421.43,28.22048095698559,26 Years and 6 Months,No,46.616129073342066,298.7444693112266,Low_spent_Small_value_payments,227.1627349487646,Good
March,44,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",-2,0,1.7599999999999998,5.0,Good,421.43,31.04641790511995,26 Years and 7 Months,No,46.616129073342066,140.8206959818371,Low_spent_Medium_value_payments,375.0865082781542,Good
April,44,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,30.1680304036694,26 Years and 8 Months,No,46.616129073342066,233.6055264233428,Low_spent_Small_value_payments,292.3016778366485,Good
May,44,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,25.18923173183331,26 Years and 9 Months,No,16415.0,184.70057162057685,Low_spent_Small_value_payments,341.20663263941435,Good
June,44,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,Good,421.43,25.502468550245663,,No,46.616129073342066,137.71742489512621,Low_spent_Medium_value_payments,378.18977936486505,Good
July,45,Journalist,31370.8,2825.233333333333,1,6,12,-100,"Not Specified, and Payday Loan",-1,2,5.76,5.0,Good,421.43,22.762202172732568,26 Years and 11 Months,No,46.616129073342066,188.3949004901688,Low_spent_Small_value_payments,337.51230376982244,Good
August,45,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",-2,2,5.76,5.0,_,421.43,37.56505276771999,27 Years and 0 Months,No,46.616129073342066,252.6448271968889,Low_spent_Small_value_payments,273.2623770631024,Good
January,40,Teacher,33751.27,2948.605833333333,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,4.0,Standard,1328.93,37.08907564543987,19 Years and 2 Months,NM,65.00817428651536,117.30669710658556,High_spent_Medium_value_payments,362.5457119402324,Standard
February,40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,4.0,Standard,1328.93,30.908080633467584,19 Years and 3 Months,Yes,65.00817428651536,70.13107792087979,High_spent_Large_value_payments,399.7213311259382,Standard
March,40,_______,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8.0,Standard,1328.93,38.03072168039317,19 Years and 4 Months,Yes,65.00817428651536,270.18258222151513,Low_spent_Large_value_payments,229.6698268253028,Standard
April,40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11.0,8.0,Standard,1328.93,23.40441277698757,19 Years and 5 Months,Yes,65.00817428651536,25.192561910314712,High_spent_Large_value_payments,444.6598471365032,Standard
May,40,Teacher,33751.27,2948.605833333333,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8.0,8.0,Standard,1328.93,29.073758182245705,19 Years and 6 Months,Yes,65.00817428651536,243.32968479530567,Low_spent_Small_value_payments,276.5227242515123,Standard
June,40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8.0,Standard,1328.93,32.78263672653516,19 Years and 7 Months,Yes,65.00817428651536,72.86008181289458,High_spent_Medium_value_payments,406.9923272339233,Standard
July,40,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8.0,Standard,1328.93,35.58400504980836,19 Years and 8 Months,Yes,65.00817428651536,35.427169541683696,!@9#%8,444.4252395051343,Standard
August,41,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11.0,8.0,Standard,1328.93_,31.13948358493632,,Yes,65.00817428651536,25.969611914778515,High_spent_Large_value_payments,443.88279713203934,Standard
January,32,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3.51,3.0,Good,950.36,28.210617211444603,25 Years and 5 Months,No,135.17337097171767,98.93176402067013,High_spent_Large_value_payments,732.563531674279,Standard
February,33_,Engineer,88640.24,7266.686666666667,3,6,433,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,41.036168282350594,25 Years and 6 Months,NM,135.17337097171767,157.174788304235,High_spent_Large_value_payments,674.3205073907143,Good
March,33,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3.0,Good,950.36,34.670194379227716,25 Years and 7 Months,No,135.17337097171767,298.1889114624804,High_spent_Medium_value_payments,543.3063842324688,Standard
April,33,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,31.828535574846637,25 Years and 8 Months,No,135.17337097171767,,Low_spent_Small_value_payments,86.63611982901625,Standard
May,33,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,34.702836927947075,25 Years and 9 Months,No,135.17337097171767,279.61862207772435,High_spent_Medium_value_payments,561.8766736172248,Good
June,33,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3.0,Good,950.36,38.32363895436978,25 Years and 10 Months,No,135.17337097171767,686.1262165951837,Low_spent_Small_value_payments,195.36907909976551,Good
July,33,Engineer,88640.24_,,3,6,1,2_,"Payday Loan, and Payday Loan",4,2,3.51,3.0,_,950.36,25.97917280396149,25 Years and 11 Months,No,80357.0,164.0748218779106,High_spent_Large_value_payments,667.4204738170387,Good
August,33,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",-1,,3.51,3.0,Good,950.36,30.87079911079545,26 Years and 0 Months,No,135.17337097171767,98.44195128223792,High_spent_Large_value_payments,733.0533444127112,Good
January,35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3.0,Standard,179.22,25.649246067243418,26 Years and 10 Months,Yes,124.39208242092045,243.73543739209438,Low_spent_Large_value_payments,378.54048018698535,Standard
February,35_,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,4.54,3.0,Standard,179.22,29.40877527612245,26 Years and 11 Months,Yes,124.39208242092045,142.75186411942676,High_spent_Medium_value_payments,459.52405345965286,Standard
March,35,Entrepreneur,54392.16_,,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",15,11,5.54,3.0,_,179.22,31.25892846912917,27 Years and 0 Months,NM,124.39208242092045,33.349568589344514,High_spent_Large_value_payments,558.9263489897351,Standard
April,35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,7,0.54,3.0,Standard,179.22,27.192587405326012,27 Years and 1 Months,Yes,124.39208242092045,494.8422277056662,Low_spent_Small_value_payments,147.43368987341347,Standard
May,35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,11.54,3.0,Standard,179.22,34.59532445612005,27 Years and 2 Months,Yes,124.39208242092045,233.1184454152274,Low_spent_Small_value_payments,409.15747216385233,Standard
June,35,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3.0,_,179.22,23.195025404792624,27 Years and 3 Months,Yes,124.39208242092045,635.1465605054178,Low_spent_Small_value_payments,7.129357073661937,Standard
July,36,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7.0,Standard,179.22,35.112531991297786,27 Years and 4 Months,Yes,124.39208242092045,158.11240346721374,Low_spent_Large_value_payments,464.1635141118658,Standard
August,36,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7.0,Standard,179.22,32.8788050668308,27 Years and 5 Months,Yes,124.39208242092045,495.1178978821161,Low_spent_Small_value_payments,147.15801969696355,Standard
January,39,Manager,8701.545,,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6.0,_,2602.69,24.523163853918167,8 Years and 11 Months,Yes,36.54819717138717,13.066209919444336,Low_spent_Large_value_payments,272.2984679091685,Poor
February,39,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6.0,Standard,2602.69,39.90251759709182,9 Years and 0 Months,Yes,36.54819717138717,34.71516393565097,Low_spent_Large_value_payments,250.64951389296183,Poor
